Identifier,Predefined symbol,Language
0x00-0x02,,Reserved
0x01,SUBLANG_ARABIC_SAUDI_ARABIA,Arabic (Saudi Arabia)
0x02,SUBLANG_ARABIC_IRAQ,Arabic (Iraq)
0x03,SUBLANG_ARABIC_EGYPT,Arabic (Egypt)
0x04,SUBLANG_ARABIC_LIBYA,Arabic (Libya)
0x05,SUBLANG_ARABIC_ALGERIA,Arabic (Algeria)
0x06,SUBLANG_ARABIC_MOROCCO,Arabic (Morocco)
0x07,SUBLANG_ARABIC_TUNISIA,Arabic (Tunisia)
0x08,SUBLANG_ARABIC_OMAN,Arabic (Oman)
0x09,SUBLANG_ARABIC_YEMEN,Arabic (Yemen)
0x10,SUBLANG_ARABIC_SYRIA,Arabic (Syria)
0x11,SUBLANG_ARABIC_JORDAN,Arabic (Jordan)
0x12,SUBLANG_ARABIC_LEBANON,Arabic (Lebanon)
0x13,SUBLANG_ARABIC_KUWAIT,Arabic (Kuwait)
0x14,SUBLANG_ARABIC_UAE,Arabic (U.A.E.)
0x15,SUBLANG_ARABIC_BAHRAIN,Arabic (Bahrain)
0x16,SUBLANG_ARABIC_QATAR,Arabic (Qatar)
0x01,SUBLANG_AZERI_CYRILLIC,Azeri (Cyrillic)
0x02,SUBLANG_AZERI_LATIN,Azeri (Latin)
0x01,SUBLANG_CHINESE_TRADITIONAL,Chinese (Traditional)
0x02,SUBLANG_CHINESE_SIMPLIFIED,Chinese (Simplified)
0x03,SUBLANG_CHINESE_HONGKONG,"Chinese (Hong Kong SAR, PRC)"
0x04,SUBLANG_CHINESE_SINGAPORE,Chinese (Singapore)
0x05,SUBLANG_CHINESE_MACAU,Chinese (Macau SAR)
0x01,SUBLANG_DUTCH,Dutch
0x02,SUBLANG_DUTCH_BELGIAN,Dutch (Belgian)
0x01,SUBLANG_ENGLISH_US,English (US)
0x02,SUBLANG_ENGLISH_UK,English (UK)
0x03,SUBLANG_ENGLISH_AUS,English (Australian)
0x04,SUBLANG_ENGLISH_CAN,English (Canadian)
0x05,SUBLANG_ENGLISH_NZ,English (New Zealand)
0x06,SUBLANG_ENGLISH_EIRE,English (Ireland)
0x07,SUBLANG_ENGLISH_SOUTH_AFRICA,English (South Africa)
0x08,SUBLANG_ENGLISH_JAMAICA,English (Jamaica)
0x09,SUBLANG_ENGLISH_CARIBBEAN,English (Caribbean)
0x0a,SUBLANG_ENGLISH_BELIZE,English (Belize)
0x0b,SUBLANG_ENGLISH_TRINIDAD,English (Trinidad)
0x0c,SUBLANG_ENGLISH_PHILIPPINES,English (Zimbabwe)
0x0d,SUBLANG_ENGLISH_ZIMBABWE,English (Philippines)
0x01,SUBLANG_FRENCH,French
0x02,SUBLANG_FRENCH_BELGIAN,French (Belgian)
0x03,SUBLANG_FRENCH_CANADIAN,French (Canadian)
0x04,SUBLANG_FRENCH_SWISS,French (Swiss)
0x05,SUBLANG_FRENCH_LUXEMBOURG,French (Luxembourg)
0x06,SUBLANG_FRENCH_MONACO,French (Monaco)
0x01,SUBLANG_GERMAN,German
0x02,SUBLANG_GERMAN_SWISS,German (Swiss)
0x03,SUBLANG_GERMAN_AUSTRIAN,German (Austrian)
0x04,SUBLANG_GERMAN_LUXEMBOURG,German (Luxembourg)
0x05,SUBLANG_GERMAN_LIECHTENSTEIN,German (Liechtenstein)
0x01,SUBLANG_ITALIAN,Italian
0x02,SUBLANG_ITALIAN_SWISS,Italian (Swiss)
0x02,SUBLANG_KASHMIRI_INDIA,Kashmiri (India)
0x01,SUBLANG_KOREAN,Korean
0x01,SUBLANG_LITHUANIAN,Lithuanian
0x01,SUBLANG_MALAY_MALAYSIA,Malay (Malaysia)
0x02,SUBLANG_MALAY_BRUNEI_DARUSSALAM,Malay (Brunei Darassalam)
0x02,SUBLANG_NEPALI_INDIA,Nepali (India)
0x01,SUBLANG_NORWEGIAN_BOKMAL,Norwegian (Bokmal)
0x02,SUBLANG_NORWEGIAN_NYNORSK,Norwegian (Nynorsk)
0x01,SUBLANG_PORTUGUESE,Portuguese (Brazilian)
0x02,SUBLANG_PORTUGUESE_BRAZILIAN,Portuguese
0x02,SUBLANG_SERBIAN_LATIN,Serbian (Latin)
0x03,SUBLANG_SERBIAN_CYRILLIC,Serbian (Cyrillic)
0x01,SUBLANG_SPANISH,Spanish (Castilian)
0x02,SUBLANG_SPANISH_MEXICAN,Spanish (Mexican)
0x03,SUBLANG_SPANISH_MODERN,Spanish (Modern)
0x04,SUBLANG_SPANISH_GUATEMALA,Spanish (Guatemala)
0x05,SUBLANG_SPANISH_COSTA_RICA,Spanish (Costa Rica)
0x06,SUBLANG_SPANISH_PANAMA,Spanish (Panama)
0x07,SUBLANG_SPANISH_DOMINICAN_REPUBLIC,Spanish (Dominican Republic)
0x08,SUBLANG_SPANISH_VENEZUELA,Spanish (Venezuela)
0x09,SUBLANG_SPANISH_COLOMBIA,Spanish (Colombia)
0x0a,SUBLANG_SPANISH_PERU,Spanish (Peru)
0x0b,SUBLANG_SPANISH_ARGENTINA,Spanish (Argentina)
0x0c,SUBLANG_SPANISH_ECUADOR,Spanish (Ecuador)
0x0d,SUBLANG_SPANISH_CHILE,Spanish (Chile)
0x0e,SUBLANG_SPANISH_URUGUAY,Spanish (Uruguay)
0x0f,SUBLANG_SPANISH_PARAGUAY,Spanish (Paraguay)
0x10,SUBLANG_SPANISH_BOLIVIA,Spanish (Bolivia)
0x11,SUBLANG_SPANISH_EL_SALVADOR,Spanish (El Salvador)
0x12,SUBLANG_SPANISH_HONDURAS,Spanish (Honduras)
0x13,SUBLANG_SPANISH_NICARAGUA,Spanish (Nicaragua)
0x14,SUBLANG_SPANISH_PUERTO_RICO,Spanish (Puerto Rico)
0x01,SUBLANG_SWEDISH,Swedish
0x02,SUBLANG_SWEDISH_FINLAND,Swedish (Finland)
0x01,SUBLANG_URDU_PAKISTAN,Urdu (Pakistan)
0x02,SUBLANG_URDU_INDIA,Urdu (India)
0x01,SUBLANG_UZBEK_LATIN,Uzbek (Latin)
0x02,SUBLANG_UZBEK_CYRILLIC,Uzbek (Cyrillic)
0x01,SUBLANG_HID_USAGE_DATA_DESCRIPTOR,HID (Usage Data Descriptor)
0x3c,SUBLANG_HID_VENDOR_DEFINED_1,HID (Vendor Defined 1)
0x3d,SUBLANG_HID_VENDOR_DEFINED_2,HID (Vendor Defined 2)
0x3e,SUBLANG_HID_VENDOR_DEFINED_3,HID (Vendor Defined 3)
0x3f,SUBLANG_HID_VENDOR_DEFINED_4,HID (Vendor Defined 4)